customer_id,customer_name,region,segment,annual_recurring_revenue,created_at
C0001,Northstar Synthetic 001,North America,Enterprise,183000,2023-09-11
C0002,Northstar Synthetic 002,Europe,Mid-Market,56000,2025-01-18
C0003,Northstar Synthetic 003,Asia Pacific,Growth,86000,2022-12-18
C0004,Northstar Synthetic 004,North America,Enterprise,219000,2024-04-02
C0005,Northstar Synthetic 005,Europe,Mid-Market,102000,2023-06-18
C0006,Northstar Synthetic 006,Asia Pacific,Growth,167000,2024-05-13
C0007,Northstar Synthetic 007,North America,Enterprise,119000,2023-11-30
C0008,Northstar Synthetic 008,Europe,Mid-Market,135000,2022-12-06
C0009,Northstar Synthetic 009,Asia Pacific,Growth,240000,2024-04-09
C0010,Northstar Synthetic 010,North America,Enterprise,180000,2023-11-17
C0011,Northstar Synthetic 011,Europe,Mid-Market,193000,2024-04-24
C0012,Northstar Synthetic 012,Asia Pacific,Growth,226000,2024-10-29
C0013,Northstar Synthetic 013,North America,Enterprise,67000,2023-09-01
C0014,Northstar Synthetic 014,Europe,Mid-Market,60000,2024-03-17
C0015,Northstar Synthetic 015,Asia Pacific,Growth,81000,2024-09-14
C0016,Northstar Synthetic 016,North America,Enterprise,193000,2024-03-18
C0017,Northstar Synthetic 017,Europe,Mid-Market,138000,2023-02-12
C0018,Northstar Synthetic 018,Asia Pacific,Growth,60000,2023-08-31
C0019,Northstar Synthetic 019,North America,Enterprise,182000,2023-01-30
C0020,Northstar Synthetic 020,Europe,Mid-Market,173000,2025-02-10
C0021,Northstar Synthetic 021,Asia Pacific,Growth,217000,2024-08-27
C0022,Northstar Synthetic 022,North America,Enterprise,197000,2025-02-10
C0023,Northstar Synthetic 023,Europe,Mid-Market,170000,2024-08-27
C0024,Northstar Synthetic 024,Asia Pacific,Growth,176000,2025-03-09
C0025,Northstar Synthetic 025,North America,Enterprise,83000,2025-01-17
C0026,Northstar Synthetic 026,Europe,Mid-Market,124000,2023-12-07
C0027,Northstar Synthetic 027,Asia Pacific,Growth,29000,2024-05-24
C0028,Northstar Synthetic 028,North America,Enterprise,223000,2023-07-28
C0029,Northstar Synthetic 029,Europe,Mid-Market,233000,2023-02-15
C0030,Northstar Synthetic 030,Asia Pacific,Growth,151000,2024-02-24
C0031,Northstar Synthetic 031,North America,Enterprise,203000,2024-11-03
C0032,Northstar Synthetic 032,Europe,Mid-Market,143000,2024-05-05
C0033,Northstar Synthetic 033,Asia Pacific,Growth,119000,2023-09-24
C0034,Northstar Synthetic 034,North America,Enterprise,166000,2024-07-22
C0035,Northstar Synthetic 035,Europe,Mid-Market,160000,2025-01-27
C0036,Northstar Synthetic 036,Asia Pacific,Growth,92000,2024-11-14
C0037,Northstar Synthetic 037,North America,Enterprise,167000,2025-03-05
C0038,Northstar Synthetic 038,Europe,Mid-Market,227000,2023-12-30
C0039,Northstar Synthetic 039,Asia Pacific,Growth,183000,2025-04-13
C0040,Northstar Synthetic 040,North America,Enterprise,211000,2023-10-08
C0041,Northstar Synthetic 041,Europe,Mid-Market,167000,2024-02-12
C0042,Northstar Synthetic 042,Asia Pacific,Growth,61000,2023-05-07
C0043,Northstar Synthetic 043,North America,Enterprise,113000,2024-07-27
C0044,Northstar Synthetic 044,Europe,Mid-Market,120000,2025-02-04
C0045,Northstar Synthetic 045,Asia Pacific,Growth,140000,2023-09-04
C0046,Northstar Synthetic 046,North America,Enterprise,141000,2024-10-17
